"Rank";"Symbol";"Instrument";"Annualized return";"Average return";"Median return";"Pattern Start";"Pattern End";"Cal. Days";"Max Profit";"Max Loss";"No. of Winners";"No. of Trades";"Win Ratio";"Std Dev";"Sharpe Ratio";
"66";"OKE";"ONEOK, Inc";"+163.96%";"+7.95%";"+4.94%";"24 Mar";"22 Apr";"29";"+24.86%";"-1.63%";"9";"10";"90%";"8.64%";"3.68";
"67";"WST";"West Pharmaceutical Services, Inc";"+122.96%";"+6.76%";"+7.66%";"24 Mar";"23 Apr";"30";"+38.47%";"-14.53%";"7";"10";"70%";"13.58%";"4.01";
"68";"PEG";"Public Service Enterprise Group Incorpor";"+154.54%";"+6.01%";"+5.66%";"24 Mar";"16 Apr";"23";"+27.93%";"-1.39%";"8";"10";"80%";"7.82%";"6.52";
"69";"MLM";"Martin Marietta Materials, Inc";"+166.49%";"+4.33%";"+3.34%";"24 Mar";"09 Apr";"16";"+29.78%";"-4.63%";"7";"10";"70%";"9.21%";"4.08";
"70";"CSX";"CSX Corporation";"+106.00%";"+6.07%";"+8.52%";"24 Mar";"23 Apr";"30";"+11.08%";"-5.56%";"8";"10";"80%";"5.67%";"3.66";
"71";"TYL";"Tyler Technologies, Inc";"+119.11%";"+5.47%";"+7.84%";"24 Mar";"18 Apr";"25";"+21.06%";"-11.76%";"8";"10";"80%";"10.89%";"3.64";
"72";"EMN";"Eastman Chemical Company";"+170.74%";"+6.41%";"+4.19%";"24 Mar";"16 Apr";"23";"+25.61%";"-1.64%";"9";"10";"90%";"7.34%";"5.16";
"73";"SNA";"Snap-on Incorporated";"+125.40%";"+6.86%";"+6.81%";"24 Mar";"23 Apr";"30";"+13.32%";"-0.98%";"9";"10";"90%";"3.99%";"3.67";
"74";"HAS";"Hasbro, Inc";"+149.09%";"+7.73%";"+5.11%";"24 Mar";"23 Apr";"30";"+19.88%";"+0.16%";"10";"10";"100%";"7.04%";"4.35";
"75";"TSLA";"Tesla, Inc";"+186.67%";"+6.49%";"+2.66%";"24 Mar";"15 Apr";"22";"+44.52%";"-11.93%";"6";"10";"60%";"14.82%";"3.16";
"76";"NWSA";"News Corporation";"+75.34%";"+0.74%";"+1.19%";"24 Mar";"29 Mar";"5";"+4.38%";"-3.31%";"6";"10";"60%";"2.55%";"2.11";
"77";"STE";"STERIS plc";"+149.72%";"+6.68%";"+4.67%";"24 Mar";"19 Apr";"26";"+33.31%";"+0.66%";"10";"10";"100%";"8.76%";"5.63";
"78";"PLD";"Prologis, Inc";"+123.26%";"+6.77%";"+6.22%";"24 Mar";"23 Apr";"30";"+22.96%";"-4.10%";"9";"10";"90%";"6.50%";"4.30";
"79";"FMC";"FMC Corporation";"+130.13%";"+6.79%";"+5.81%";"24 Mar";"22 Apr";"29";"+23.10%";"-1.99%";"7";"10";"70%";"8.12%";"3.62";
"80";"EXC";"Exelon Corporation";"+152.95%";"+3.83%";"+2.94%";"24 Mar";"08 Apr";"15";"+12.73%";"-1.73%";"7";"10";"70%";"5.00%";"4.57";
"81";"EPAM";"EPAM Systems, Inc";"+153.94%";"+6.53%";"+4.28%";"24 Mar";"18 Apr";"25";"+21.28%";"-2.38%";"9";"10";"90%";"7.02%";"3.18";
"82";"NRG";"NRG Energy, Inc";"+131.09%";"+5.85%";"+5.70%";"24 Mar";"18 Apr";"25";"+20.46%";"-4.94%";"9";"10";"90%";"6.38%";"4.17";
"83";"CAT";"Caterpillar Inc";"+137.56%";"+6.05%";"+5.15%";"24 Mar";"18 Apr";"25";"+14.12%";"+2.43%";"10";"10";"100%";"3.26%";"4.60";
"84";"DG";"Dollar General Corporation";"+140.11%";"+6.38%";"+4.90%";"24 Mar";"19 Apr";"26";"+26.50%";"-2.13%";"7";"10";"70%";"8.36%";"6.75";
"85";"NUE";"Nucor Corporation";"+130.22%";"+6.07%";"+5.57%";"24 Mar";"19 Apr";"26";"+15.62%";"-2.97%";"8";"10";"80%";"6.49%";"4.11";
"86";"ADM";"Archer-Daniels-Midland Company";"+121.65%";"+5.32%";"+6.25%";"24 Mar";"17 Apr";"24";"+15.07%";"-1.97%";"9";"10";"90%";"4.31%";"5.18";
"87";"FTNT";"Fortinet, Inc";"+109.59%";"+6.22%";"+6.69%";"24 Mar";"23 Apr";"30";"+17.78%";"-3.64%";"8";"10";"80%";"6.48%";"2.96";
